id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kings,Block Cipher,hip hop,energetic,0.80,96,0.63,0.86,0.09
12,Winter Adagio,The Hollow Strings,classical,melancholy,0.28,64,0.25,0.16,0.96
13,Island Mailbox,Palm & Tide,reggae,uplifting,0.62,98,0.82,0.78,0.34
14,Iron Verdict,Ashfall Method,metal,aggressive,0.97,160,0.30,0.42,0.03
15,Dust Road Home,Marigold County,country,nostalgic,0.48,92,0.55,0.52,0.68
16,Neon Cathedral,Pulsewidth,edm,euphoric,0.95,128,0.79,0.90,0.02
17,Rainwater Blues,Delta Marrow,blues,somber,0.40,76,0.32,0.45,0.72
18,Paper Compass,Wander & Wren,folk,hopeful,0.44,104,0.66,0.40,0.88
19,Velvet Hours,Sable Rose,r&b,romantic,0.52,70,0.68,0.66,0.40
20,Sidewalk Strut,The Groove Committee,funk,playful,0.78,112,0.85,0.89,0.12
