id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,description,tags,contexts,instruments,instrumental,explicit,era
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,Sunrise City by Neon Echo is a happy pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for morning motivation.,pop|happy|catchy hooks|polished vocals|bright chorus,morning motivation|singalong drives|friendly gatherings,synthesizer|electric guitar|live drums|layered vocals,false,false,2010s
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,Midnight Coding by LoRoom is a chill lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for deep study.,lofi|chill|dusty beats|vinyl texture|soft focus,deep study|quiet reading|late-night coding,electric piano|muted drums|vinyl crackle|warm bass,true,false,2010s
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,Storm Runner by Voltline is an intense rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for hard workouts.,rock|intense|guitar riffs|live drums|anthemic chorus,hard workouts|road trips|game-day energy,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,1990s
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,Library Rain by Paper Lanterns is a chill lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for quiet reading.,lofi|chill|dusty beats|vinyl texture|soft focus,quiet reading|late-night coding|gentle unwinding,electric piano|muted drums|vinyl crackle|warm bass,true,false,2020s
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,Gym Hero by Max Pulse is an intense pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for singalong drives.,pop|intense|catchy hooks|polished vocals|bright chorus,singalong drives|friendly gatherings|weekend errands,synthesizer|electric guitar|live drums|layered vocals,false,false,2020s
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,Spacewalk Thoughts by Orbit Bloom is a chill ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for meditation.,ambient|chill|slow evolving|spacious texture|meditative,meditation|sleep preparation|quiet reflection,synth pads|field recordings|processed piano|soft drones,true,false,2000s
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,Coffee Shop Stories by Slow Stereo is a relaxed jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for dinner ambience.,jazz|relaxed|improvisation|swing feel|acoustic ensemble,dinner ambience|coffeehouse work|evening conversation,upright bass|piano|brushed drums|tenor saxophone,true,false,1950s
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,Night Drive Loop by Neon Echo is a moody synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for night driving.,synthwave|moody|retro synths|night drive|cinematic pulse,night driving|retro gaming|creative sprints,analog synthesizer|drum machine|sequenced bass|electric guitar,false,false,1980s
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,Focus Flow by LoRoom is a focused lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for late-night coding.,lofi|focused|dusty beats|vinyl texture|soft focus,late-night coding|gentle unwinding|deep study,electric piano|muted drums|vinyl crackle|warm bass,true,false,2010s
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,Rooftop Lights by Indigo Parade is a happy indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for sunny walks.,indie pop|happy|jangly guitars|diary-like lyrics|handmade pop,sunny walks|creative breaks|casual hangs,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2000s
11,Concrete Kings,Block Cipher,hip hop,energetic,0.80,96,0.63,0.86,0.09,Concrete Kings by Block Cipher is an energetic hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for confidence boosts.,hip hop|energetic|boom bap drums|lyrical flow|bass-heavy,confidence boosts|urban commutes|focused training,drum sampler|sub bass|chopped keys|turntable textures,false,false,1990s
12,Winter Adagio,The Hollow Strings,classical,melancholy,0.28,64,0.25,0.16,0.96,Winter Adagio by The Hollow Strings is a melancholy classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for focused reading.,classical|melancholy|orchestral|dynamic movement|acoustic detail,focused reading|quiet mornings|formal dinners,grand piano|violin|cello|viola,true,false,1990s
13,Island Mailbox,Palm & Tide,reggae,uplifting,0.62,98,0.82,0.78,0.34,Island Mailbox by Palm & Tide is an uplifting reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for beach afternoons.,reggae|uplifting|offbeat guitar|dub warmth|sunlit groove,beach afternoons|backyard gatherings|slow weekends,skank guitar|electric bass|organ|hand percussion,false,false,1970s
14,Iron Verdict,Ashfall Method,metal,aggressive,0.97,160,0.30,0.42,0.03,Iron Verdict by Ashfall Method is an aggressive metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for maximum-effort training.,metal|aggressive|heavy riffs|double kick|dramatic intensity,maximum-effort training|cathartic release|high-intensity gaming,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,false,1990s
15,Dust Road Home,Marigold County,country,nostalgic,0.48,92,0.55,0.52,0.68,Dust Road Home by Marigold County is a nostalgic country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for scenic drives.,country|nostalgic|storytelling|acoustic twang|open-road warmth,scenic drives|porch evenings|family cookouts,acoustic guitar|pedal steel|fiddle|brush drums,false,false,1970s
16,Neon Cathedral,Pulsewidth,edm,euphoric,0.95,128,0.79,0.90,0.02,Neon Cathedral by Pulsewidth is an euphoric edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for dance workouts.,edm|euphoric|festival build|four-on-the-floor|synth drop,dance workouts|party peaks|festival energy,software synthesizer|drum machine|sub bass|vocal chops,false,false,2010s
17,Rainwater Blues,Delta Marrow,blues,somber,0.40,76,0.32,0.45,0.72,Rainwater Blues by Delta Marrow is a somber blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for late-night reflection.,blues|somber|twelve-bar feel|expressive guitar|weathered vocals,late-night reflection|slow drives|focused listening,electric guitar|harmonica|upright piano|shuffle drums,false,false,1950s
18,Paper Compass,Wander & Wren,folk,hopeful,0.44,104,0.66,0.40,0.88,Paper Compass by Wander & Wren is a hopeful folk track with close-miked acoustic storytelling with natural textures and patient harmonies. Fingerpicked guitar and mandolin shape a sound designed for quiet road trips.,folk|hopeful|acoustic storytelling|close harmony|woodland warmth,quiet road trips|campfire evenings|journaling,fingerpicked guitar|mandolin|upright bass|close harmonies,false,false,1960s
19,Velvet Hours,Sable Rose,r&b,romantic,0.52,70,0.68,0.66,0.40,Velvet Hours by Sable Rose is a romantic r&b track with silky vocal layers and spacious harmony riding a patient pocket. Electric piano and sub bass shape a sound designed for date-night ambience.,r&b|romantic|silky vocals|slow groove|warm harmony,date-night ambience|late-night unwinding|quiet connection,electric piano|sub bass|finger snaps|layered vocals,false,false,1990s
20,Sidewalk Strut,The Groove Committee,funk,playful,0.78,112,0.85,0.89,0.12,Sidewalk Strut by The Groove Committee is a playful funk track with a rubbery bass pocket and clipped rhythm guitar accented by bright brass. Slap bass and rhythm guitar shape a sound designed for dance breaks.,funk|playful|syncopated bass|brass punches|dance-floor pocket,dance breaks|party arrivals|cooking with friends,slap bass|rhythm guitar|horn section|tight drums,false,false,1970s
21,Open Window,The Daylights,pop,happy,0.72,114,0.86,0.82,0.08,Open Window by The Daylights is a happy pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for friendly gatherings.,pop|happy|catchy hooks|polished vocals|bright chorus,friendly gatherings|weekend errands|morning motivation,synthesizer|electric guitar|live drums|layered vocals,false,false,2010s
22,Polaroid Summer,Violet Transit,pop,playful,0.76,118,0.90,0.78,0.12,Polaroid Summer by Violet Transit is a playful pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for weekend errands.,pop|playful|catchy hooks|polished vocals|bright chorus,weekend errands|morning motivation|singalong drives,synthesizer|electric guitar|live drums|layered vocals,false,false,2020s
23,Better in Color,Cass Nova,pop,energetic,0.80,122,0.72,0.64,0.16,Better in Color by Cass Nova is an energetic pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for morning motivation.,pop|energetic|catchy hooks|polished vocals|bright chorus,morning motivation|singalong drives|friendly gatherings,synthesizer|electric guitar|live drums|layered vocals,false,false,2010s
24,Satellite Smile,June Arcade,pop,uplifting,0.84,126,0.84,0.68,0.20,Satellite Smile by June Arcade is an uplifting pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for singalong drives.,pop|uplifting|catchy hooks|polished vocals|bright chorus,singalong drives|friendly gatherings|weekend errands,synthesizer|electric guitar|live drums|layered vocals,false,false,2020s
25,Afterglow Avenue,Mira Bloom,pop,romantic,0.88,130,0.80,0.72,0.24,Afterglow Avenue by Mira Bloom is a romantic pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for friendly gatherings.,pop|romantic|catchy hooks|polished vocals|bright chorus,friendly gatherings|weekend errands|morning motivation,synthesizer|electric guitar|live drums|layered vocals,false,false,2010s
26,Good News Parade,The Daylights,pop,playful,0.70,112,0.66,0.76,0.28,Good News Parade by The Daylights is a playful pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for weekend errands.,pop|playful|catchy hooks|polished vocals|bright chorus,weekend errands|morning motivation|singalong drives,synthesizer|electric guitar|live drums|layered vocals,false,false,2020s
27,Weekend Gravity,Violet Transit,pop,hopeful,0.82,124,0.70,0.80,0.32,Weekend Gravity by Violet Transit is a hopeful pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for morning motivation.,pop|hopeful|catchy hooks|polished vocals|bright chorus,morning motivation|singalong drives|friendly gatherings,synthesizer|electric guitar|live drums|layered vocals,false,false,2010s
28,Brighter Than Before,Cass Nova,pop,euphoric,0.78,120,0.74,0.84,0.14,Brighter Than Before by Cass Nova is an euphoric pop track with a polished hook-forward arrangement and a bright singalong chorus. Synthesizer and electric guitar shape a sound designed for singalong drives.,pop|euphoric|catchy hooks|polished vocals|bright chorus,singalong drives|friendly gatherings|weekend errands,synthesizer|electric guitar|live drums|layered vocals,false,false,2020s
29,Margin Doodles,Small Hours Club,lofi,moody,0.36,76,0.66,0.59,0.68,Margin Doodles by Small Hours Club is a moody lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for gentle unwinding.,lofi|moody|dusty beats|vinyl texture|soft focus,gentle unwinding|deep study|quiet reading,electric piano|muted drums|vinyl crackle|warm bass,true,false,2020s
30,Blue Desk Lamp,Juniper Tape,lofi,relaxed,0.40,80,0.48,0.45,0.72,Blue Desk Lamp by Juniper Tape is a relaxed lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for deep study.,lofi|relaxed|dusty beats|vinyl texture|soft focus,deep study|quiet reading|late-night coding,electric piano|muted drums|vinyl crackle|warm bass,true,false,2010s
31,Quiet Deadline,Cassette Garden,lofi,focused,0.44,84,0.60,0.49,0.76,Quiet Deadline by Cassette Garden is a focused lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for quiet reading.,lofi|focused|dusty beats|vinyl texture|soft focus,quiet reading|late-night coding|gentle unwinding,electric piano|muted drums|vinyl crackle|warm bass,true,false,2020s
32,Cloudy Bookmark,Mosslight,lofi,chill,0.48,88,0.56,0.53,0.80,Cloudy Bookmark by Mosslight is a chill lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for late-night coding.,lofi|chill|dusty beats|vinyl texture|soft focus,late-night coding|gentle unwinding|deep study,electric piano|muted drums|vinyl crackle|warm bass,true,false,2010s
